question,offer,experience,interview,difficulty,source
,No Offer,Positive Experience,"Overall, a great experience. 1 round with HR, 1 with the Hiring Manager, and I was told that the final round would be with the VP of Product. The recruiter I liaised with was Wong Kay Yan from the Singapore office. I'd like to highlight that she was incredibly professional, approachable and on top of things. Throughout the application process, she took commendable effort to understand my career aspirations and expectations, and shared other roles that she thought I would interest me, despite them not being part of her scope of work. The other interviews I met were also extremely friendly and helpful. The questions that they prepared were well thought through and tailored to my career experience.",Difficult Interview,Shopee
 Will you be able to deliver a high volume of output with little time?   ,No Offer,Neutral Experience,,Difficult Interview,Shopee
 What are some things you would improve about our app?   ,No Offer,Negative Experience,"Very bad experience. First round of interview, HR only confirmed the interview less than one day before the set date. I had to call to get a confirmation. That was still ok and I had a great session with the hiring manager. Second round of interview, HR did not send the Zoom interview link till an hour before it after I prompted. However, the last straw is that after my last round of interview, I sent 2 follow up emails asking for an update on my status, radio silence. It has been almost a month. Would have been nice to get a courtesy email if I had been rejected.",Average Interview,Shopee
 Introduce yourself   ,No Offer,Neutral Experience,,Average Interview,Shopee
 How will you improve Shopee’s app?   ,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
 Fitur excel yang dibisa apa?   ,No Offer,Positive Experience,It was very quick and the interviewer used english. I was interviewed with 4 other people until HR interview. I was doing the math test first before HR interview. The invitation for HR interview came several hours after i did the math test so it was a quick preparation,Easy Interview,Shopee
,Accepted Offer,Positive Experience,"I had the general exam first, when you pass the exam, you get to move on to the interview process. I dad three interviews before receiving a job offer, the first one is through HR, the last two were from the department I applied for.",Average Interview,Shopee
 Just background check   ,No Offer,Negative Experience,,,Shopee
 Do you have any experience outside of school on data analytics?   ,No Offer,Neutral Experience,,Average Interview,Shopee
 Past experience   ,Declined Offer,Positive Experience,Systematic and streamlined interview process. Overall speaking is a very pleasant experience. The interviewer was very cheerful and experienced. The hiring process was also quite fast and effective to me.,Average Interview,Shopee
 String manipulations   ,Accepted Offer,Positive Experience,"Overall process takes 5 rounds. First one is coding test (1 hour), then HR screening (basically talking about what is the next technical interviews will be). Last 3 rounds are technical interviews with Hiring Managers and future team lead.",Average Interview,Shopee
,No Offer,Negative Experience,"Phone interview was short and sweet. A formality to inform you about the coding quiz. However, coding quiz was extremely horrendous. The platform used, Glider.ai, is very privacy intruding as it would record your face, voice and screen activities. For the coding questions, you are expected to handle input and output unlike Leetcode where you only have to implement the method in the template. If you are unlikely, the session might abruptly end.",Average Interview,Shopee
 Interview round 2: Tell me a time that you learned new things?   ,No Offer,Neutral Experience,,Average Interview,Shopee
,Declined Offer,Neutral Experience,,Average Interview,Shopee
 SQL test   ,Accepted Offer,Positive Experience,Logic and SQL online test via email that is delivered by the HR department. The test are given after I submit my application via online website with my CV attached.,Difficult Interview,Shopee
" easy leetcode problems, made hard by the terrible platform for online assessment   ",No Offer,Negative Experience,,Easy Interview,Shopee
