offer,experience,difficulty,interview,question,source
No Offer,Negative Experience,Easy Interview,"I was contacted by a recruiter out of the blue, who put me in for a principal solutions architecture role. Made big promises of high salaries/benefits. I took a test that was about 2 hours long. Its a very easy test that mimics a work environment. My opinion is that this test is designed as a bit of a cultural screening, as people who are not native english speakers would find it challenging. I got a very high score and was allowed to proceed on to the ""loop"". I had reservations about the process because in this style of interviewing the candidates are sort of ""forced"" upon the management team, and they are not always serious about hiring. The first recruiter sent me to a second recruiter, who tried a bait and switch approach, telling me that this was not a principal role and busting the salary down far below what the original recruiter stated. After a few weeks I proceeded on to the ""loop"" which was a 7 hour interview marathon. Amazon touts itself as focusing on writing, critical thinking and intelligence, but the technical interview was clearly focused on parochial skills. Simple questions like ""name a database"", ""describe database types"", that sort of thing. They will ask you things that are not on your resume but since its all remote, you can easily pull the answers up on google without them noticing if you are adept enough. They tout the solutions architect role as being a ""field CTO"" which was appealing, but realistically it is nothing more than a ""glorified sysadmin"" job in my opinion, based on the questions they asked and the kind of focus the job had. They asked a few of the typical behavioral questions, and you're supposed to follow the STAR method of responding. However, I noticed they went off this script quite often and it didn't seem to matter in my case. Whenever I asked a question, the hiring manager and sales guy had rambling, incoherent responses - something they won't accept from their candidates. Just be advised that you are being held to a higher standard than they are during the interview. The hiring manager in this case was subordinate to me at a previous company, which I gather was a big reason for me not getting an offer. Of course these kinds of facts were completely lost on the recruiters. The ""senior"" hiring manager only had two years of management experience, and had only been at AWS one year. The interview was easy, but long and time consuming - requiring preparing a presentation ahead of time. I was had more experience, education, training, and IQ than the hiring manager, so it was a no-go from the get go for me. That's really the recruiter's fault. After all that work, all I got was a voice mail from the recruiter that they would not move forward. Of course, she was out of the office that week. Big waste of time. Remember, they're getting paid to talk to you, you aren't.",,Amazon
Accepted Offer,Positive Experience,Average Interview,Great and they were quick . They had detailed directions for what needed to be done . They were socially distanced and organized . The process only too about 30-45 minutes. I think this was very fast compared to other companies., How old was i   ,Amazon
Declined Offer,Positive Experience,Difficult Interview,participated in 8 interviews. These were on the phone. All interviews are behavioral so have your examples with clear results and metrics ready. be organized and write out answers ahead of time., see their leadership principles and STAR behavioral interviewing for tips   ,Amazon
Accepted Offer,Positive Experience,Average Interview,"it was great, i think im going to like it. they were very good with updates and you also have to take a drug test and im located in texas dfw", Can you work well by yourself.   ,Amazon
No Offer,Positive Experience,Average Interview,Telephone screen and then 5 video-based interviews. Two writing exercises were also included. The interviews were highly structured and they expected you to follow a format in answering questions (the STAR method)., Which Amazon leadership principles do you think apply to this position?   ,Amazon
Declined Offer,Negative Experience,Easy Interview,"interview was easy to get, their ad stated $16.50 an hour, after the screening pay was chopped to $15 an hour. Hours reduced to under 36 hours, start time less than two weeks, not enough time to give the current employer a two weeks notice.",,Amazon
Declined Offer,Positive Experience,Average Interview,It was a 30 min interview. I was asked 1 warehouse situation question and 1 maths question. The rest were behavioral and situation-based questions based on Amazon leadership principles. It was a good experience., Describe custmer absession jyf yhh jhv   ,Amazon
No Offer,Neutral Experience,Average Interview,,,Amazon
Declined Offer,Positive Experience,Average Interview,Phone Screening followed by half day (remote on-site) of interviews (5 one hour sessions). Screening included short annotation exercise and code correction and two of the sessions in the half day had exercises to be done in a virtual whiteboard., Tell me about a time when you found a simple solution to a hard problem   ,Amazon
No Offer,Negative Experience,Average Interview,," In general the OA questions were pretty manageable (probably leetcode medium at worst), and I got a pretty easy question about binary trees during the phone interview.   ",Amazon
No Offer,Positive Experience,Difficult Interview,First coding then research experience. Coding is about backtracking. The research question is about describing your research experience and then they probably would ask some following questions about the research. At last they will ask about your research plans etc.," Given a soduku problem, how would you solve it with programming.   ",Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Average Interview,Rather informal but was given as much time as needed for the interview questions. Mainly behavioral questions as they describe in the pre brief. Two different interviewers over two hours., Describe a time you got a teammate out of a rut that day?   ,Amazon
