interview,question,offer,experience,difficulty,source
"I took the Online Assessment only. OA1 was so easy that almost all of the candidates who know the English language and C may pass. OA2 was a little difficult, but you can pass if you prepare on leetcode before. OA3 was a long and tough one. You should be thouroughly prepared with Amazon LPs.",,No Offer,Positive Experience,Average Interview,Amazon
The interview process starts with a hirevue which takes places about two weeks after you apply. You have five days to complete this process which takes about 20 minutes to complete. I was asked 7 questions of which two written and 5 oral, Tell me about a time you dealt with a tight deadline.   ,Accepted Offer,Positive Experience,Average Interview,Amazon
, How would you create a hashmap class   ,No Offer,Positive Experience,Average Interview,Amazon
, Typical DS Algo questions.   ,No Offer,Positive Experience,Average Interview,Amazon
"5 rounds, which was really tiring and it took a whole day.the interview ended at 10:30pm which is insane .they where all stupid questions, you don't need to study a lot for this. Such waste of time.", Dumb questions like a picture was shown and you had to tell if the description was right   ,No Offer,Negative Experience,Easy Interview,Amazon
"You first complete an online assessment which mainly consists of IoT and general IT questions. It was relatively difficult for someone that is not specialised in IT. If successful, you move on to the phone interview. The phone interview is with 2 AWS interviewers and lasts around 1 hour. This phone interview mainly covers all the technical aspects of the job. If successful, you move on to the Assessment Center.", Questions concentrated on Amazon's leadership principles   ,No Offer,Positive Experience,Average Interview,Amazon
"It wasn't so bad, but the questions were quite unexpected and some off them weren't even job related. Overall, it was a normal interview, but one of the recruiter was quite impatient and had this obvious superiority attitude.",,No Offer,Neutral Experience,Difficult Interview,Amazon
They have conducted my telephonic screening. I have briefly explained the most challenging project which I worked on in recent past and the approach to solve the problem. choice of data structure and algorithm used.,,No Offer,Neutral Experience,Average Interview,Amazon
The hiring process consisted of a phone screen interview followed by a code sharing video interview. The interviewer was not too engaged in understanding my logic for the code. The interviewer seemed to be busy doing their own work., DFS question from leetcode   ,No Offer,Negative Experience,Average Interview,Amazon
, Tell me about a situation when you disagreed with your senior and how did he react   ,No Offer,Positive Experience,,Amazon
