question,offer,interview,experience,difficulty,source
" Describe the process of one of the projects you led end to end. Tell me how you prioritized the tasks. Tell me how you kept stakeholders updated with project progress. Tell me how you designed the end to end system architecture. Hypothetically, how would you design a live streaming service that serves large traffic when a celebrity/popular user live streams/publishes a pre-recorded video.   ",No Offer,"Recruiter reached out saying hiring manager is interested, but didn't say exactly which team. The role is for FB infrastructure, again, don't know which product or platform. Had phone screening with a TPM working on product and platform infrastructure of WhatsApp. I'll update my onsite interview experience later if I could have it.",Positive Experience,Average Interview,Facebook
 How should you decide whether to autoplay videos on the newsfeed? What success metrics?   ,No Offer,,Negative Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Average Interview,Facebook
 Asked me about my experience.   ,No Offer,"Easily one of the worst experiences I've had so far. I has scheduled a time with the recruiter for a pre-screen call and had to re-schedule because she forgot. There was no apology, no excuse, just a plain ""let's reschedule"" email. Following the call, she told me I would be a really great fit for some of the junior level positions and that she would definitely email me about it. But after following up with her thrice and receiving absolutely no response, I had to take a step back. It makes no sense if a big company such as yourself hires recruiters who don't have the basic courtesy to say ""no"" directly or respect the candidate's time.",Negative Experience,,Facebook
" Understand the launch of a product in the new market, the metrics you should use to analyze, potential customers, value propositions, and the pros and cons of launching.   ",No Offer,"The interviewer was very nice, and the questions are very standard Facebook questions. Anyone with a business analyst background should answer with no problem. The bummer is that the recruiter called me 3 hours before my onsite saying that my interview was cancelled because they have reached a global headcount.",Neutral Experience,Easy Interview,Facebook
,No Offer,,Negative Experience,Easy Interview,Facebook
 What is the literal definition of a p-value?   ,No Offer,"Interview process took 2 months, first call was with a recruiter then a technical interview with scenarios about products and surveys, then a 4 hour virtual onsite with a presentation, another technical, a product and a behavioral interview",Positive Experience,Average Interview,Facebook
 Most questions are Leetcode medium level problems   ,No Offer,,Neutral Experience,Average Interview,Facebook
 Q: Do you have any editorial decision experience?   ,No Offer,"Very odd, a recruiter contacted me after submitting my resume, we had a nice chat on the phone and I thought it went great as my qualifications fit the role. I was told she would reach out soon if I went to the next step. No response from her so I emailed to find out if the role was filled or they had passed, no response, then I was emailed that the team went with someone else for the next round by due to legal reason they aren't allowed to provide feedback about the initial interview, that really put me off to facebook as a whole and am wary of the point of this.",Negative Experience,Average Interview,Facebook
 1. Give me an example of how you've dealt with conflicting priorities across programs you've managed.   ,No Offer,,Neutral Experience,Average Interview,Facebook
 Typical algorithm questions   ,No Offer,"4 rounds of interviews. 1 online quiz, 2 coding challenges and 1 on site. The coding challenges were using a shared screen. On site was with 4 different engineers. 3 of them were technical, one of them was behavioral",Positive Experience,Average Interview,Facebook
 I can't share the question do to the signed agreement still being effective.   ,No Offer,,Negative Experience,Average Interview,Facebook
" Can't give the questions in detail, but every question in glassdoor in the last 6 months will definitely help.!   ",No Offer,,Positive Experience,Easy Interview,Facebook
